read,domain,e-value
MRS0167.c63f6s12|apr13.P2.MID13-15.H8MRBDT02HSYDH|MRS0167|Ghana_VeaGowrie;sample=MRS0167;size=1;,DBLa0.5,2e-51
WOS32.KP221039;sample=WOS32;size=1;,DBLa0.5,2.1e-92
WOS21.KP220967;sample=WOS21;size=1;,DBLa0.1,1.1e-83
K95.c24f33s56|oct12.P2.MID23.HWSTXOD02EA2PK.HiQual|K95|Thailand_Kanchanaburi;sample=K95;size=1;,DBLa0.8,1.4e-56
UG70484.c52f6s10|aug13.P1.MID7-8.IE15TFC01DSVG7|UG70484|Uganda_Arua;sample=UG70484;size=3;,DBLa1.8,3.7e-60
UG80359.c97f6s11|may13.P2.MID55-57.IAK27MS02HU3FS|UG80359|Uganda_Jinja;sample=UG80359;size=1;,DBLa0.1,1.1e-57
UG80502.c116f5s5|aug13.P2.MID55-57.IE15TFC02JXRNL|UG80502|Uganda_Jinja;sample=UG80502;size=2;,DBLa0.5,1.3e-57
UG70371.c46f9s12|aug13.P1.MID3-5.IE15TFC01AYZIU.HiQual|UG70371|Uganda_Arua;sample=UG70371;size=1;,DBLa0.8,2.6e-56
UG70697.c127f4s6|aug13.P2.MID14-15.IE15TFC02GMJV9|UG70697|Uganda_Arua;sample=UG70697;size=3;,DBLa0.8,1.2e-52
MRS0183.c40f5s14|apr13.P1.MID15-16.H8MRBDT01EL5RQ|MRS0183|Ghana_VeaGowrie;sample=MRS0183;size=1;,DBLa0.19,1.4e-52
MRS0503.c103f6s8|apr13.P2.MID33-34.H8MRBDT02I6GUE|MRS0503|Ghana_Soe;sample=MRS0503;size=1;,DBLa0.11,7.3e-53
UG10371.c74f5s9|mar13.P3.MID13.H6VQLNR03HCV66|UG10371|Uganda_Tororo;sample=UG10371;size=1;,DBLa0.5,3.9e-53
UG80298.c9f64s74|aug13.P2.MID50-50.IE15TFC02IRM91.HiQual|UG80298|Uganda_Jinja;sample=UG80298;size=1;,DBLa0.4,1.8e-51
UG10150.c91f4s4|mar13.P1.MID04.H6VQLNR01BZF3D|UG10150|Uganda_Tororo;sample=UG10150;size=25;,DBLa0.14,1.1e-53
UG60507.c84f5s7|mar13.P1.MID41.H6VQLNR01BPNQA_rc|UG60507|Uganda_Apac;sample=UG60507;size=7;,DBLa0.3,8.4e-46
MRS0521.c6f33s43|apr13.P2.MID34-34.H8MRBDT02F8N3C.HiQual|MRS0521|Ghana_Soe;sample=MRS0521;size=1;,DBLa0.1,4e-54
UG70349.c17f29s40|aug13.P2.MID3-3.IE15TFC02HD1FR.HiQual|UG70349|Uganda_Arua;sample=UG70349;size=1;,DBLa0.8,4.8e-53
MRS0258.c172f5s5|apr13.P1.MID20-22.H8MRBDT01ES9EX|MRS0258|Ghana_VeaGowrie;sample=MRS0258;size=1;,DBLa0.11,2.7e-55
UG60490.c116f4s6|mar13.P3.MID40.H6VQLNR03GL9OH|UG60490|Uganda_Apac;sample=UG60490;size=1;,DBLa0.17,3.4e-54
UG10561.c83f4s4|mar13.P1.MID19.H6VQLNR01B3ELE|UG10561|Uganda_Tororo;sample=UG10561;size=1;,DBLa0.9,7e-54
3D7.c0f103s147|mar13.P1.MID54.H6VQLNR01BWCVJ.HiQual|3D7|3D7;sample=3D7;size=19;,DBLa0.1,4.8e-58
3D7.c13f23s30|aug13.P1.MID15-18.IE15TFC01D5RCX.HiQual|3D7|3D7;sample=3D7;size=12;,DBLa0.20,3.4e-56
UG70468.c33f14s31|aug13.P1.MID7-7.IE15TFC01AX538.HiQual|UG70468|Uganda_Arua;sample=UG70468;size=1;,DBLa0.8,6.3e-55
UG30486.c79f4s5|oct12.P3.MID48.HWSTXOD03FRUFC|UG30486|Uganda_Kanungu;sample=UG30486;size=2;,DBLa0.22,1.8e-58
UG10640.c64f3s6|mar13.P2.MID22.H6VQLNR02DF9FF_rc|UG10640|Uganda_Tororo;sample=UG10640;size=1;,DBLa1.4,5.8e-51
BK1418.c62f6s9|apr11.P4.MID24.GY7WJEE04I8I49|BK1418|Gabon_Bakoumba;sample=BK1418;size=1;,DBLa0.8,7.4e-51
UG10768.c53f6s8|mar13.P4.MID26.H6VQLNR04JSII3|UG10768|Uganda_Tororo;sample=UG10768;size=1;,DBLa0.15,1e-50
UG10200.c1f25s57|mar13.P3.MID05.H6VQLNR03FR33T.HiQual|UG10200|Uganda_Tororo;sample=UG10200;size=1;,DBLa0.8,7e-50
UG10622.c79f7s7|mar13.P2.MID21.H6VQLNR02EACT3_rc|UG10622|Uganda_Tororo;sample=UG10622;size=1;,DBLa0.5,1.2e-47
MRS0196.c16f14s14|apr13.P1.MID16-18.H8MRBDT01AQDSE|MRS0196|Ghana_VeaGowrie;sample=MRS0196;size=1;,DBLa0.7,3.5e-46
UG60350.c51f5s7|mar13.P1.MID36.H6VQLNR01AN4C4|UG60350|Uganda_Apac;sample=UG60350;size=1;,DBLa0.12,2e-54
MRS0493.c52f6s6|apr13.P1.MID33-33.H8MRBDT01ELG3F|MRS0493|Ghana_Soe;sample=MRS0493;size=1;,DBLa0.15,2.6e-50
UG10147.c98f3s4|mar13.P4.MID03.H6VQLNR04H521V|UG10147|Uganda_Tororo;sample=UG10147;size=1;,DBLa0.3,2.3e-56
MRS0429.c82f5s6|apr13.P2.MID28-30.H8MRBDT02HCP33|MRS0429|Ghana_Soe;sample=MRS0429;size=2;,DBLa0.1,1.4e-57
BK958.c31f3s3|apr11.P3.MID51.GY7WJEE03HARIQ|BK958|Gabon_Bakoumba;sample=BK958;size=1;,DBLa0.11,2.2e-43
UG80736.c43f23s37|may13.P2.MID47-49.IAK27MS02GDI0D.HiQual|UG80736|Uganda_Jinja;sample=UG80736;size=1;,DBLa0.13,2.6e-54
MRS0378.c178f3s3|apr13.P1.MID25-27.H8MRBDT01BMR7E_rc|MRS0378|Ghana_Soe;sample=MRS0378;size=1;,DBLa0.8,2e-52
MRS0654.c20f16s22|may13.P2.MID41-41.IAK27MS02GB3RP.HiQual|MRS0654|Ghana_Soe;sample=MRS0654;size=1;,DBLa0.1,1.1e-56
UG70437.c121f3s6|aug13.P2.MID6-6.IE15TFC02H3J69|UG70437|Uganda_Arua;sample=UG70437;size=1;,DBLa0.11,7.4e-47
UG10623.c95f5s7|mar13.P3.MID21.H6VQLNR03G5S9T_rc|UG10623|Uganda_Tororo;sample=UG10623;size=1;,DBLa0.1,1.5e-53
UG30632.c30f11s15|oct12.P4.MID51.HWSTXOD04JJQEG|UG30632|Uganda_Kanungu;sample=UG30632;size=2;,DBLa0.23,6.3e-47
UG80616.c96f36s47|may13.P1.MID56-58.IAK27MS01D49M3|UG80616|Uganda_Jinja;sample=UG80616;size=1;,DBLa0.14,1.3e-59
UG80083.c51f10s14|may13.P2.MID54-55.IAK27MS02HKGK1.HiQual|UG80083|Uganda_Jinja;sample=UG80083;size=1;,DBLa0.5,7.5e-50
UG10622.c72f8s11|mar13.P2.MID21.H6VQLNR02DF7ET|UG10622|Uganda_Tororo;sample=UG10622;size=1;,DBLa0.1,1.5e-53
UG50613.c64f6s8|may13.P1.MID3-3.IAK27MS01CHBJG|UG50613|Uganda_Kyenjojo;sample=UG50613;size=1;,DBLa0.3,6.5e-54
UG60555.c92f6s7|mar13.P2.MID43.H6VQLNR02C79C2|UG60555|Uganda_Apac;sample=UG60555;size=2;,DBLa0.8,7.3e-54
MRS0631.c57f3s3|may13.P2.MID40-40.IAK27MS02JD8F2|MRS0631|Ghana_Soe;sample=MRS0631;size=1;,DBLa0.11,2.6e-56
Col30.c31f24s34|sep11.P3.MID38.G9JXQ6K03G7W4Y.HiQual|Col30|Colombia_Turbo;sample=Col30;size=10;,DBLa0.1,1.1e-54
BK894.c48f16s21|apr11.P4.MID48.GY7WJEE04H9DXC.HiQual|BK894|Gabon_Bakoumba;sample=BK894;size=3;,DBLa0.1,1.6e-58
UG70630.c166f5s5|aug13.P1.MID11-13.IE15TFC01CLEK8|UG70630|Uganda_Arua;sample=UG70630;size=1;,DBLa0.7,3.1e-24
UG80062.c21f39s51|aug13.P2.MID43-43.IE15TFC02F4O11.HiQual|UG80062|Uganda_Jinja;sample=UG80062;size=1;,DBLa0.5,1.4e-50
UG80029.c46f17s26|aug13.P2.MID42-43.IE15TFC02FVDL5.HiQual|UG80029|Uganda_Jinja;sample=UG80029;size=1;,DBLa0.5,7.6e-58
BK471.c49f7s11|apr11.P3.MID24.GY7WJEE03GOSKA|BK471|Gabon_Bakoumba;sample=BK471;size=1;,DBLa0.22,1e-49
UG60181.c24f16s25|mar13.P4.MID30.H6VQLNR04I5SQR.HiQual|UG60181|Uganda_Apac;sample=UG60181;size=1;,DBLa0.8,3.1e-51
UG10534.c57f12s12|mar13.P3.MID18.H6VQLNR03FW6PI|UG10534|Uganda_Tororo;sample=UG10534;size=5;,DBLa0.4,2.7e-54
UG60620.c187f3s3|mar13.P2.MID45.H6VQLNR02CY73X|UG60620|Uganda_Apac;sample=UG60620;size=1;,DBLa0.5,1.8e-57
MRS0320.c69f13s15|apr13.P1.MID23-25.H8MRBDT01BJIV9.HiQual|MRS0320|Ghana_VeaGowrie;sample=MRS0320;size=1;,DBLa0.5,9e-54
MUG13.KP220776;sample=MUG13;size=1;,DBLa0.12,3e-85
UG80062.c24f31s47|aug13.P2.MID43-43.IE15TFC02GWDEW|UG80062|Uganda_Jinja;sample=UG80062;size=1;,DBLa0.9,1.2e-51
MRS0135.c7f6s6|apr13.P1.MID10-13.H8MRBDT01EZZXW|MRS0135|Ghana_VeaGowrie;sample=MRS0135;size=1;,DBLa0.5,5.6e-50
UG10689.c43f8s11|mar13.P3.MID24.H6VQLNR03FN0QO_rc.HiQual|UG10689|Uganda_Tororo;sample=UG10689;size=1;,DBLa0.8,4.5e-54
UG10540.c50f18s22|mar13.P4.MID18.H6VQLNR04IH1OS.HiQual|UG10540|Uganda_Tororo;sample=UG10540;size=2;,DBLa0.10,9.9e-54
UG70657.c11f40s66|aug13.P2.MID13-13.IE15TFC02JV8KF.HiQual|UG70657|Uganda_Arua;sample=UG70657;size=1;,DBLa0.8,3.6e-54
UG80083.c50f8s15|may13.P2.MID54-55.IAK27MS02H9BPX.HiQual|UG80083|Uganda_Jinja;sample=UG80083;size=2;,DBLa0.8,4e-52
UG10772.c27f6s11|mar13.P2.MID27.H6VQLNR02DWEON|UG10772|Uganda_Tororo;sample=UG10772;size=1;,DBLa0.11,3.4e-52
MRS0323.c116f5s5|apr13.P2.MID23-25.H8MRBDT02FUZKG_rc|MRS0323|Ghana_VeaGowrie;sample=MRS0323;size=1;,DBLa0.3,1.5e-53
UG50230.c26f20s29|may13.P2.MID53-54.IAK27MS02IXOUO.HiQual|UG50230|Uganda_Kyenjojo;sample=UG50230;size=1;,DBLa0.9,3.9e-56
UG60181.c23f11s26|mar13.P4.MID30.H6VQLNR04H4LDP.HiQual|UG60181|Uganda_Apac;sample=UG60181;size=1;,DBLa0.17,1.2e-52
UG60834.c60f5s11|mar13.P1.MID51.H6VQLNR01AXNGG_rc|UG60834|Uganda_Apac;sample=UG60834;size=1;,DBLa0.13,1.7e-52
UG50594.c14f16s28|may13.P1.MID2-4.IAK27MS01EN0CZ.HiQual|UG50594|Uganda_Kyenjojo;sample=UG50594;size=2;,DBLa0.15,3.7e-51
BK669.c11f30s36|apr11.P3.MID40.GY7WJEE03HCITH.HiQual|BK669|Gabon_Bakoumba;sample=BK669;size=5;,DBLa0.24,5.3e-50
UG70583.c5f111s151|aug13.P2.MID10-11.IE15TFC02IIB29.HiQual|UG70583|Uganda_Arua;sample=UG70583;size=1;,DBLa0.1,6.3e-55
UG60086.c102f9s9|mar13.P1.MID29.H6VQLNR01BB13X|UG60086|Uganda_Apac;sample=UG60086;size=2;,DBLa0.8,5.1e-54
MRS0064.c125f3s4|apr13.P1.MID04-06.H8MRBDT01CRQ7V|MRS0064|Ghana_VeaGowrie;sample=MRS0064;size=1;,DBLa0.9,8.7e-41
BK209.c5f15s20|apr11.P2.MID08.GY7WJEE02C4E5Z.HiQual|BK209|Gabon_Bakoumba;sample=BK209;size=2;,DBLa0.1,2.1e-53
UG70416.c82f4s6|aug13.P1.MID5-6.IE15TFC01E1UOQ|UG70416|Uganda_Arua;sample=UG70416;size=1;,DBLa0.5,4e-51
UG10089.c56f4s4|mar13.P2.MID02.H6VQLNR02EUJ5S_rc|UG10089|Uganda_Tororo;sample=UG10089;size=1;,DBLa0.10,1.9e-48
UG60244.c107f6s6|mar13.P4.MID32.H6VQLNR04JS2I8|UG60244|Uganda_Apac;sample=UG60244;size=1;,DBLa0.1,7.8e-59
BK669.c185f5s5|apr11.P3.MID40.GY7WJEE03GTV7G_rc|BK669|Gabon_Bakoumba;sample=BK669;size=3;,DBLa0.6,1.2e-50
MRS0084.c33f3s7|apr13.P1.MID06-07.H8MRBDT01DNDEJ_rc|MRS0084|Ghana_VeaGowrie;sample=MRS0084;size=1;,DBLa0.1,9.2e-57
UG80782.c126f3s3|may13.P2.MID58-59.IAK27MS02F8F7H_rc|UG80782|Uganda_Jinja;sample=UG80782;size=1;,DBLa0.22,1e-50
MRS0337.c110f5s7|jul13.P1.MID39-39.IDA9VQ201BTQA0|MRS0337|Ghana_VeaGowrie;sample=MRS0337;size=1;,DBLa0.1,3.8e-52
UG80736.c59f6s10|may13.P2.MID47-49.IAK27MS02F7TJ5|UG80736|Uganda_Jinja;sample=UG80736;size=1;,DBLa0.1,2.6e-55
UG60729.c10f28s44|mar13.P2.MID48.H6VQLNR02DVPCB.HiQual|UG60729|Uganda_Apac;sample=UG60729;size=1;,DBLa0.8,4.6e-55
BK802.c75f3s5|apr11.P3.MID45.GY7WJEE03FT83B|BK802|Gabon_Bakoumba;sample=BK802;size=1;,DBLa0.5,1.2e-52
UG70515.c55f12s15|aug13.P2.MID8-10.IE15TFC02GQIS1|UG70515|Uganda_Arua;sample=UG70515;size=1;,DBLa0.5,6.7e-54
MRS0318.c60f22s31|apr13.P2.MID23-24.H8MRBDT02JDFTR.HiQual|MRS0318|Ghana_VeaGowrie;sample=MRS0318;size=1;,DBLa0.11,1.1e-58
WOS16.KP220701;sample=WOS16;size=1;,DBLa0.5,2.9e-88
MRS0426.c59f4s6|apr13.P2.MID28-29.H8MRBDT02IS9QI|MRS0426|Ghana_Soe;sample=MRS0426;size=1;,DBLa0.1,7.2e-58
MRS0622.c36f27s36|may13.P2.MID39-41.IAK27MS02G808T|MRS0622|Ghana_Soe;sample=MRS0622;size=1;,DBLa0.8,4.4e-54
UG70195.c99f4s6|aug13.P2.MID1-2.IE15TFC02GKV8J|UG70195|Uganda_Arua;sample=UG70195;size=1;,DBLa0.11,8.6e-53
UG80090.c47f14s21|aug13.P2.MID43-44.IE15TFC02HWM52|UG80090|Uganda_Jinja;sample=UG80090;size=1;,DBLa0.11,5.8e-58
UG70684.c102f3s6|aug13.P2.MID13-15.IE15TFC02IZE2J_rc|UG70684|Uganda_Arua;sample=UG70684;size=1;,DBLa0.8,2e-55
MRS0184.c107f3s3|apr13.P2.MID15-16.H8MRBDT02JHZG0|MRS0184|Ghana_VeaGowrie;sample=MRS0184;size=1;,DBLa0.1,9.6e-43
UG60633.c22f29s38|mar13.P3.MID45.H6VQLNR03G7BXX|UG60633|Uganda_Apac;sample=UG60633;size=1;,DBLa0.19,2.6e-45
UG10666.c5f39s49|mar13.P2.MID23.H6VQLNR02D90F3|UG10666|Uganda_Tororo;sample=UG10666;size=1;,DBLa0.12,1.4e-57
MRS0169.c108f4s4|apr13.P2.MID14-14.H8MRBDT02H29Z0|MRS0169|Ghana_VeaGowrie;sample=MRS0169;size=1;,DBLa0.21,6.6e-16
MRS0329.c86f5s6|jul13.P1.MID35-35.IDA9VQ201A7OT1|MRS0329|Ghana_VeaGowrie;sample=MRS0329;size=1;,DBLa0.3,3.1e-51
UG50598.c56f14s18|may13.P2.MID2-4.IAK27MS02IGQ1F.HiQual|UG50598|Uganda_Kyenjojo;sample=UG50598;size=3;,DBLa0.6,4.7e-46
UG60210.c13f43s54|mar13.P1.MID32.H6VQLNR01BMOF8.HiQual|UG60210|Uganda_Apac;sample=UG60210;size=1;,DBLa0.5,2.1e-52
UG70468.c4f85s95|aug13.P1.MID7-7.IE15TFC01B52Y7.HiQual|UG70468|Uganda_Arua;sample=UG70468;size=4;,DBLa1.2,9.2e-51
UG10722.c90f3s7|mar13.P3.MID25.H6VQLNR03GEYTI_rc|UG10722|Uganda_Tororo;sample=UG10722;size=1;,DBLa0.2,1.2e-37
Gc13.c21f78s97|sep11.P1.MID11.G9JXQ6K01B2X07.HiQual|Gc13|FrenchGuyana_Camopi;sample=Gc13;size=7;,DBLa1.8,4.8e-57
MRS0242.c20f18s30|apr13.P2.MID19-21.H8MRBDT02HG833.HiQual|MRS0242|Ghana_VeaGowrie;sample=MRS0242;size=1;,DBLa0.24,3.8e-46
UG80059.c100f5s5|aug13.P1.MID43-43.IE15TFC01AML10|UG80059|Uganda_Jinja;sample=UG80059;size=1;,DBLa0.15,5.7e-54
UG80567.c133f4s4|aug13.P1.MID56-57.IE15TFC01EV1GU|UG80567|Uganda_Jinja;sample=UG80567;size=1;,DBLa0.8,3.2e-52
BK1417.c55f3s4|apr11.P4.MID23.GY7WJEE04IICXL|BK1417|Gabon_Bakoumba;sample=BK1417;size=1;,DBLa0.21,1e-49
UG10342.c23f30s39|mar13.P1.MID11.H6VQLNR01AWB0Z.HiQual|UG10342|Uganda_Tororo;sample=UG10342;size=2;,DBLa0.11,8.5e-55
UG10449.c167f3s3|mar13.P4.MID16.H6VQLNR04HZ59D_rc|UG10449|Uganda_Tororo;sample=UG10449;size=1;,DBLa0.9,2.4e-43
BK446.c48f3s3|apr11.P3.MID22.GY7WJEE03F51VV|BK446|Gabon_Bakoumba;sample=BK446;size=1;,DBLa0.11,4.8e-47
UG80743.c52f12s16|may13.P2.MID57-59.IAK27MS02IS9KW|UG80743|Uganda_Jinja;sample=UG80743;size=2;,DBLa0.3,7.7e-54
UG10540.c11f22s47|mar13.P4.MID18.H6VQLNR04IX1NX.HiQual|UG10540|Uganda_Tororo;sample=UG10540;size=1;,DBLa0.1,6e-59
K101.c44f3s3|mar13.P1.MID23.H6VQLNR01AUUX4|K101|Thailand_Kanchanaburi;sample=K101;size=1;,DBLa0.8,8.8e-49
MRS0429.c78f6s6|apr13.P2.MID28-30.H8MRBDT02F0T4L|MRS0429|Ghana_Soe;sample=MRS0429;size=1;,DBLa0.3,8.4e-39
MRS0258.c132f3s7|apr13.P1.MID20-22.H8MRBDT01CFWJV_rc|MRS0258|Ghana_VeaGowrie;sample=MRS0258;size=1;,DBLa0.8,5.8e-52
UG50420.c53f14s16|may13.P2.MID61-62.IAK27MS02GC2GA.HiQual|UG50420|Uganda_Kyenjojo;sample=UG50420;size=3;,DBLa0.8,6.6e-54
MH40.c70f5s6|oct12.P4.MID21.HWSTXOD04JDYTF.HiQual|MH40|Thailand_Maehongson;sample=MH40;size=2;,DBLa2,8.4e-48
UG10781.c44f3s10|mar13.P4.MID27.H6VQLNR04IBNWF_rc|UG10781|Uganda_Tororo;sample=UG10781;size=1;,DBLa0.8,1e-52
UG50813.c12f57s72|aug13.P2.MID40-42.IE15TFC02J4566.HiQual|UG50813|Uganda_Kyenjojo;sample=UG50813;size=1;,DBLa0.12,1.6e-53
MRS0600.c78f3s7|may13.P2.MID38-40.IAK27MS02GRBS0|MRS0600|Ghana_Soe;sample=MRS0600;size=1;,DBLa0.1,2.5e-59
UG10055.c153f3s3|mar13.P4.MID01.H6VQLNR04IF1LZ_rc|UG10055|Uganda_Tororo;sample=UG10055;size=1;,DBLa0.1,4.4e-55
MRS0484.c232f5s7|apr13.P2.MID32-32.H8MRBDT02FH38F|MRS0484|Ghana_Soe;sample=MRS0484;size=1;,DBLa0.5,4.6e-55
UG70715.c47f8s19|aug13.P2.MID60-60.IE15TFC02FN3Z2|UG70715|Uganda_Arua;sample=UG70715;size=4;,DBLa0.4,3.2e-45
WOS24.KP220392;sample=WOS24;size=1;,DBLa0.1,4.6e-89
UG80083.c64f8s10|may13.P2.MID54-55.IAK27MS02HJN3A|UG80083|Uganda_Jinja;sample=UG80083;size=1;,DBLa0.6,2.9e-50
MRS0325.c107f3s3|jul13.P2.MID34-35.IDA9VQ202G26FW|MRS0325|Ghana_VeaGowrie;sample=MRS0325;size=1;,DBLa0.8,1e-53
T288.c34f16s21|oct12.P3.MID16.HWSTXOD03F1ER3.HiQual|T288|Thailand_Tak;sample=T288;size=1;,DBLa0.11,1.1e-56
UG50730.c33f29s36|may13.P2.MID5-7.IAK27MS02IC0NW.HiQual|UG50730|Uganda_Kyenjojo;sample=UG50730;size=1;,DBLa0.5,1.1e-56
MRS0239.c10f15s20|apr13.P2.MID19-20.H8MRBDT02IF6CI.HiQual|MRS0239|Ghana_VeaGowrie;sample=MRS0239;size=1;,DBLa0.1,1.3e-57
UG70122.c33f6s8|aug13.P1.MID62-2.IE15TFC01EK8VG_rc|UG70122|Uganda_Arua;sample=UG70122;size=1;,DBLa0.9,4.4e-50
MRS0600.c31f16s20|may13.P2.MID38-40.IAK27MS02JGLSW.HiQual|MRS0600|Ghana_Soe;sample=MRS0600;size=1;,DBLa0.22,9.2e-50
UG30024.c6f11s15|oct12.P2.MID36.HWSTXOD02C6WYI.HiQual|UG30024|Uganda_Kanungu;sample=UG30024;size=2;,DBLa1.8,3.1e-55
UG60098.c54f7s13|mar13.P3.MID29.H6VQLNR03GQOEC|UG60098|Uganda_Apac;sample=UG60098;size=1;,DBLa0.8,4.7e-53
BK289.c41f5s7|apr11.P2.MID11.GY7WJEE02EUHAH|BK289|Gabon_Bakoumba;sample=BK289;size=1;,DBLa0.9,3e-50
K101.c54f5s5|oct12.P3.MID23.HWSTXOD03HAABD|K101|Thailand_Kanchanaburi;sample=K101;size=1;,DBLa0.5,1.7e-29
UG80172.c154f3s3|aug13.P2.MID44-45.IE15TFC02H6IXW|UG80172|Uganda_Jinja;sample=UG80172;size=1;,DBLa0.21,1.1e-50
BK820.c26f18s27|apr11.P4.MID45.GY7WJEE04JDHRP.HiQual|BK820|Gabon_Bakoumba;sample=BK820;size=22;,DBLa1.8,8.4e-59
UG70274.c13f25s41|aug13.P2.MID3-5.IE15TFC02J1M4F.HiQual|UG70274|Uganda_Arua;sample=UG70274;size=1;,DBLa0.22,7.7e-56
UG10324.c58f9s10|mar13.P2.MID10.H6VQLNR02EF2SE|UG10324|Uganda_Tororo;sample=UG10324;size=2;,DBLa0.4,6e-35
BK643.c10f17s19|apr11.P4.MID38.GY7WJEE04JJDXH.HiQual|BK643|Gabon_Bakoumba;sample=BK643;size=2;,DBLa0.5,5.8e-57
UG10772.c61f8s8|mar13.P2.MID27.H6VQLNR02C282S_rc.HiQual|UG10772|Uganda_Tororo;sample=UG10772;size=1;,DBLa0.19,6.6e-52
UG10575.c84f6s8|mar13.P4.MID19.H6VQLNR04JEZVD_rc|UG10575|Uganda_Tororo;sample=UG10575;size=1;,DBLa0.7,1.1e-44
UG50420.c83f4s10|may13.P2.MID61-62.IAK27MS02FXREL|UG50420|Uganda_Kyenjojo;sample=UG50420;size=1;,DBLa1.8,1.8e-56
MRS0710.c63f10s14|may13.P2.MID45-45.IAK27MS02G653I|MRS0710|Ghana_Soe;sample=MRS0710;size=1;,DBLa0.18,1.2e-50
UG70489.c61f11s12|aug13.P2.MID7-8.IE15TFC02IIZ46.HiQual|UG70489|Uganda_Arua;sample=UG70489;size=1;,DBLa0.8,1e-52
UG50132.c19f17s29|may13.P1.MID50-53.IAK27MS01DSIVA.HiQual|UG50132|Uganda_Kyenjojo;sample=UG50132;size=1;,DBLa0.2,2.3e-48
MRS0320.c60f13s17|apr13.P1.MID23-25.H8MRBDT01CD5TL.HiQual|MRS0320|Ghana_VeaGowrie;sample=MRS0320;size=1;,DBLa0.1,1.5e-50
BK1309.c9f15s23|apr11.P4.MID62.GY7WJEE04IW603.HiQual|BK1309|Gabon_Bakoumba;sample=BK1309;size=1;,DBLa0.5,1.1e-55
BK454.c5f5s7|apr11.P1.MID23.GY7WJEE01BLFLZ|BK454|Gabon_Bakoumba;sample=BK454;size=1;,DBLa0.8,4.8e-59
UG70389.c115f6s6|aug13.P1.MID4-6.IE15TFC01A0AE8_rc|UG70389|Uganda_Arua;sample=UG70389;size=1;,DBLa0.1,6.4e-54
UG10572.c127f5s6|mar13.P3.MID19.H6VQLNR03F3718|UG10572|Uganda_Tororo;sample=UG10572;size=2;,DBLa0.1,8.5e-55
UG10064.c46f8s14|mar13.P1.MID02.H6VQLNR01B2NK5|UG10064|Uganda_Tororo;sample=UG10064;size=1;,DBLa0.1,8e-55
UG60144.c27f26s29|mar13.P1.MID30.H6VQLNR01AI2XU.HiQual|UG60144|Uganda_Apac;sample=UG60144;size=1;,DBLa0.5,3.9e-51
UG10370.c35f16s17|mar13.P2.MID13.H6VQLNR02DQVNR.HiQual|UG10370|Uganda_Tororo;sample=UG10370;size=1;,DBLa0.11,1.8e-59
UG10589.c71f5s5|mar13.P2.MID20.H6VQLNR02C0SZM|UG10589|Uganda_Tororo;sample=UG10589;size=1;,DBLa0.12,7.4e-51
